id,tweet
[1351680787045732352],@vaksin_covid19 pagi salsa
[1351680667822669824],@cnnindonesia harusnya di perlihatkan kepada masyarakat mana yg ada chipnya mana yg tidak..krn ada bantuan vaksin d… https://t.co/s4aenl75fk
[1351680592283222016],"raffi ahmad,  ahmadiyah dan ketidak dispilinan “duta vaksin” https://t.co/6fmvpt5rx1"
[1351680510968303616],"@dr_koko28 release uji coba vaksin sinovac yang di bandung saja akan keluar mei 2021, bagaimana bisa kesimpulan seperti itu ya.."
[1351680326523887617],"antibodi yang terbentuk secara ilmiah, lambat laun akan luntur dan tetap butuh vaksin https://t.co/rpkrnihr5g"
[1351680303920631809],"@aidilfish lihat reka adegan di tv live, semua ada bukti, slow motion, serum vaksin tdk berkurang sama sekali setelah disuntik dokter."
[1351680075595300868],"sobat polri, tidak semua orang bisa menerima vaksin covid-19 loh..yuk simak siapa saja yang tidak boleh menerima va… https://t.co/nqut4k7koa"
[1351679905407361024],"sinovac kirimkan vaksin curah, apa maksudnya? https://t.co/n9tpl28rby"
[1351679854115110913],@profesorzubairi @jokowi penyuntikkan vaksin pada presiden haruslah dilakukan dengan standar tertinggi. anggaplah a… https://t.co/nv0tnf64o2
[1351679763279015936],"mari kita simak saja yang tidak dapat di vaksin.

@divisihumaspolri #kapoldasulsel #poldasulsel… https://t.co/s2yef6umn0"
[1351675390381572096],"ayo,,jangan takut untuk ikut program vaksinasi
#vaksin https://t.co/1qovjqwi37"
[1351671528845238273],"kebohongan sedang dinyatakan didepan mata kita,

gereja menolak vaksin

para serdadu itu tentu sudah menceritakan k… https://t.co/uwcz81mlpy"
[1351671450017492992],"bunda gw bilang perawat yang gak mau di suntik vaksin katanya bakal di cabut izin kerjanya, ih gila nih ya masa sampe begitu"
[1351671321231441922],@dr_koko28 kali harus di suntik 23 vaksin gtu ya dok
[1351671197214388229],kemenpora tambah daftar nama atlet calon penerima vaksin – viva – https://t.co/7gdff4ipxl https://t.co/dhtxiweia5
[1351671134312230912],kemenpora tambah daftar nama atlet calon penerima vaksin – viva https://t.co/k0js8bsxzk
[1351671030348087296],"selamat pagi sobat nkri
usulan vaksin mandiri yg direspon bu menkeu, saya pribadi setuju tentu dg pertimbangan perc… https://t.co/uw1bxophzv"
[1351670879080464385],@null uji klinis awal sebut vaksin covid-19 rusia yang kedua terbukti 100% efektif bad  https://t.co/ba7obnwemt
[1351670865193099264],@null uji klinis awal sebut vaksin covid-19 rusia yang kedua terbukti 100% efektif bad  https://t.co/pnkn7mh9vl
[1351670825980731396],tetap bersandar kepada allah setelah divaksinasi indonesia mulai melakukan vaksinasi covid-19 pada tanggal 13 janua… https://t.co/ytpqpe0yg4
[1351670262769438720],mpu aceh...vaksin covid 19 dari sinovac adalah halal https://t.co/cb4t5joir2
[1351665568995135489],menag meminta jemaah haji tahun 1442h/2021m mendapatkan prioritas vaksinasi covid-19 agar mereka aman saat masuk ar… https://t.co/nlfeoyvth2
[1351665465760747521],"@xoshixun kabar baik cmn masa lalu aja yg buruk, belum. sehun exo udh suntik vaksin blm"
[1351665344792784897],@firzahusain dia ke as bukan sih? soalnya as kehabisan primata buat uji vaksin pfizer. 🙈
[1351665327633965056],@evndari tapi tetep aja ada asn yg bilang program vaksin itu sandiwara bernegara... so sad
[1351664918735405058],pemimpin agama yahudi di israel sebut vaksin covid-19 ubah orang jadi gay https://t.co/i5wbg00xm7
[1351664877081776128],menurut bendahara umum pro jokowi panel barus pemberian vaksin ini adalah wujud nyata untuk melindungi masyarakat i… https://t.co/duaogvyevi
[1351664840318676994],"menkeu: indonesia beruntung berhasil amankan sejumlah vaksin

 #optimisnegeribangkit https://t.co/gvsmwws7vt"
[1351661426469867520],nakes di rsbp batam telah divaksin covid-19 https://t.co/xilpxmxbez
[1351661170181115906],"gamau di vaksin karena takut ditanami chip yg mengawasi kehidupannya, tapi masih pake smartphone...

🤣"
